,Name,Date,Review,Rating,Developer,Site
10,Екатерина Федорова,2024-11-06,"Задерживают сроки сдачи квартиры в Новом Колпино. Работа с собственниками отвратительная. Никаких уведомлений о задержках или переносе сроков сдачи квартир не дают. До последнего врали, что квартиры будут сданы в срок до 30.10.24. Поставили людей в финансовую ловушку, не дав подготовиться заранее, чтоб люди могли продлить съем жилья или подъискать новое. Кто то рассчитывал на налоговой вычет, кому то уже срочно нужна прописка, я планировала родить ребенка уже в новой квартире- и тут такой неприятный сюрприз. Отвратительная работа компании в целом. На проблемы людей им абсолютно наплевать. Обращаясь индивидуально, игнор и пустые обещания, по факту работы нет. Нарушают нормы при строительстве. В нашей квартире устроили склад дверей, чем затянули отделочные работы и сроки сдачи квартиры. Теперь наша семья терпит финансовые потери с ноября 2024, так как мы вынуждены платить ипотеку и снимать жилье, теряем полагающиеся выплаты на ребенка, так как не успеваем прописаться в СПБ",1.0,samolet,novostroy
11,Инна Лесникова,2024-10-29,"Большое Путилково-жилой комплекс стал для нас открытием: рядом с живописными лесопарками, в пешей доступности находится благоустроенная набережная реки Сходни, рядом школы, детские сады для наших детей, поликлиники, жилье комфорт-класса. Взяли ипотеку на квартиру в монолитном доме с симпатичным зеленым двором. На первых этажах домов уже открыты кафе, магазины и салоны красоты.",5.0,samolet,novostroy
12,alina.paltusova,2024-10-24,"Хороший комплекс в прошлом году нашла, Мытищи парк называется. Пусть и находится он не в самой Москве, а в Подмосковье, все равно, ездить не так уж и далеко. А с учетом, что я работаю на Ярославке, мне вообще удобно. К пробкам уже привыкла)",5.0,samolet,novostroy
13,Денис Калюк,2024-10-20,"Живу в жилом комплексе Спутник около полугода. Здесь вполне приятная местность, есть живописная бухта, большая роща. Хожу туда гулять, летом еще и до пляжа доходил – в принципе неплохо, жаль, что купаться нельзя, но это если официально))",5.0,samolet,novostroy
14,Алексей,2024-10-17,"Здравствуйте,продали хитрым образом квартиру,в которой даже не было питание на плиту.Самому приходилось лазить в щитке и разбираться ,в итоге контакты которые приходили в щиток от плиты-не были подключены ,далее плита заработала и не работало 2 конфорки из 4,вызвал по гарантии мастера хаер,тот на входе мне сказал что если неправильно подключена ,это не гарантийный случай.Плиту подключал застройщик(а там одна жила торчала ,не в клеммнике,не изолирована.В итоге содрал он с меня 3 тысячи и ушел.Когда пришел в отдел заселения-та девушка что показывала квартиру на подписание акта приемки соврала мне ,говорила что плита работала,хотя она физически работать не могла.А мне она сказала что работать будет только тогда,когда будет индукционная посуда,а она даже не горела(сенсор).В итоге складывается мнение что самолет обманщики.В квартире был грязный пол на приемке,я не мог увидеть изъянов на паркете,оказалось что ламинат весь в сколах.Моя ошибка это то,что отнесся так к приемке.",1.0,samolet,novostroy
15,Ольга Л.,2024-10-14,"Как бы в Томилино всего хватает. Есть магазины, больница, ТЦ, пекарни и другая коммерция. Детский сад и школа тоже работают. Мои первоклашки вот только учиться пошли. По выходным есть куда с детьми пойти отдохнуть. Часто в Томилинский парк заглядываем: то пикник устроить, то на лошадях покататься, или идём на Пехорку. В целом жизнь здесь спокойная, размеренная. Можно никуда не ездить — всё, что надо, под боком. Даже муж уже в центр не катается, открыли один из его банковских филиалов в Красково, это всего минут семь езды от ЖК.",5.0,samolet,novostroy
16,Наталья Лебедухина,2024-10-12,"Мы недавно получили ключи от нашей новой квартире в Остафьево. Застройщику респект, нормальную отделку сделал. Благоустройство еще в процессе, все-таки дома еще не все сданы, как доделают, будет супер!",5.0,samolet,novostroy
17,Александр В.,2024-10-09,"Жилой комплекс Большое Путилково мне сразу понравился. Во-первых, рядом МКАД, такая близость подходят для ежедневных поездок. Во-вторых, возможность выйти погулять в парк, тут он есть и это очень хорошо. С парковками тут не очень, правду говорят))) но именно поэтому, я стараюсь выезжать пораньше, чтобы успеть вечером нормально припарковаться.",5.0,samolet,novostroy
18,Эльмира,2024-09-24,"Ужасная компания. Приобрели квартиру в ЖК Пригород Лесное,и уже сто раз пожалели. Мало того,что уже 4 месяца задержки,так и обратной связи никакой не получить от них. Сидят бестолковые менеджеры,которые никогда ничего не знают. Никто у них ничего не знает.",1.0,samolet,novostroy
19,zolnikov.roman,2024-09-16,"ЖК Горки Парк новый, ухоженный и на мой взгляд перспективный. Жить мне тут в целом нравится, потому что до работы недалеко. Вечерами есть где погулять с собакой, покататься на велосипеде. Потихоньку открываются разные магазины, что не может не радовать.",5.0,samolet,novostroy
20,Анжела Дембовская,2024-09-10,"Не так давно переехали в Мытищи парк. Отличное место, хоть и находится комплекс за МКАДом. Здесь хорошо, что уже инфраструктура более-менее сложилась. Любые магазины, кафе, салоны - все в шаговой доступности есть. Ну и вообще, в целом район приятный!",5.0,samolet,novostroy
21,Дарья,2024-09-09,"Хабалы, добиться ничего невозможно, в контакт центре информации никакой не дают, хамят в трубку! После вопросов о сроках заселения просто сбросили трубку!!! Ключи люди ждут по 7 месяцев, все сроки сдвинуты и нет никакой конкретики. Очень жаль что связалась с данным застройщиком!",1.0,samolet,novostroy
22,diana*evlaskina,2024-09-04,"Я хотела давно переехать в собственную квартиру, наконец-то мечта сбылась, я живу теперь с весны в жилом комплексе Пригород Лесное. Очень застройщик порадовал, все сдал в лучшем виде. Платить приходится ипотеку, но это лучше, чем чужому дяде платить за съем жиль.",5.0,samolet,novostroy
23,Елена Бушухина,2024-08-29,"Мы переехали в новую квартиру пол года тому назад. Находится жилой комплекс Алхимово в 16 км от МКАД. Квартиру нам сдали сразу с отделкой, причем она вполне себе симпатичная, да еще и с сантехникой. Застройщик видно, строил - старался, особо вопросов к нему на приемке не возникло.",5.0,samolet,novostroy
24,Владимир,2024-08-26,"Отвратительная компания, сроки заселения постоянно переносят. Строители живут в квартире, оставить офиц альную жалобу не кому, поскольку никто ни за что не отвечает. Если решили с ними связаться, то сто раз подумайте. После списания денег вы сами будете за ними бегать и уговаривать сделать то, что они обещали. А обещают они много и часто, но потом этого не делают.",1.0,samolet,novostroy
25,Наталья Деринова,2024-08-25,"В Алхимово прям хорошо, уже по весне сюда переехала, тут есть куда сгонять погулять, да и до МЦД удобно ходить. До центра если ездить, получается не супер быстро, но а вот если в районе Царицыно где-то работать, то вообще супер, по прямой на МЦД и быстро.",5.0,samolet,novostroy
26,Регина С,2024-08-23,"Добрый день. Отвратительный сервис, менеджеры постоянно меняются. Ощущение, что компания не заинтересована в продаже квартир, тк при покупке квартиры самими приходилось постоянно инициировать все шаги. Долго ждали отправки документов на регистрацию. Теперь не можем выбить начисления обещанных бонусов",1.0,samolet,novostroy
27,Лариса Сапегина,2024-08-23,"Я в Пригород Лесное перебралась пару месяцев назад. Здесь удобное маршрутное такси есть для тех, у кого нет машины. Едет прямо до метро Домодедовская. Иногда бывают утром пробки, но это терпимо, потому что все равно как-то на работу нужно ездить. В остальном здесь все очень нравится, лес хороший рядом, природа, всем довольна!",5.0,samolet,novostroy
28,Алана Ш.,2024-07-31,"Нравится, что рядом с нашим жк Люберцы есть красивое озеро, называется оно Черное. Мы частенько прогуливаемся рядом с ним, наблюдаем красивые виды. Квартирой мы довольны, к переезду она была сразу готова, так как покупали с отделкой и сантехникой. Мы взяли именно квартиру, поэтому прописка у нас есть. А вот друзья решили сэкономить, купили апартаменты, теперь жалеют, что не взяли, как мы.",5.0,samolet,novostroy
29,ira.nomerovskaya,2024-07-27,"Жилой комплекс Мытищи парк понравился хорошей инфраструктурой. Тут есть школа, садик, магазины. И самое главное, что тут вокруг есть крупные лесопарки. До Лосиного острова, правда, нужно ехать, но все равно нормально, около 15 минут примерно на машине",5.0,samolet,novostroy
30,Елена Унаева,2024-07-27,"Абсолютно бестолковая контора, продавали 7 месяцев квартиру и сняли объявление о продаже, не предупредив..",1.0,samolet,novostroy
31,Леонид Шкунов,2024-07-25,"В Спутнике живу год, хороший жк, разрастается, а близость к мкад отлично помогает быстро доезжать до работы. Иногда бывают коллапсы с пробками, но это дело житейское, подстраиваюсь под ситуацию.",5.0,samolet,novostroy
32,Светлана,2024-07-13,"Ремонты компании опасны для жизни. Жаль я не могу приложить фото. Если вы хотите столкнуться с трещинами или того хуже обрушением штукатурки за которой пустоты в 2 см и бетон, то это к ним.",1.0,samolet,novostroy
33,Анна,2024-06-24,"Классные спортивные площадки тут у нас во дворе, дети уже выросли, поэтому им интересно именно в таких зонах тусоваться - скейт парк, баскетбольная площадка и тд. Вообще Пригород Лесное один из самых бюджетных вариантов у этого застройщика по Подмосковью. Рады, что перебрались сюда!",5.0,samolet,novostroy
34,Юлия,2024-06-24,"Сервис заканчивается ровно на моменте, когда они получают первые деньги. Потом вы сами по себе. С мужем решили в последний момент оформить льготную программу. По началу все красиво - менеджеры, все в чате, активно отвечают на вопросы, помогают. А потом принимают оплату за брони, скидывают договор долевого участия и...пропадают. Оплачивайте ПВ и тогда с вами будут говорить. Крайне не рекомендую Самолет как застройщика. Мы в итоге обратились к специалисту, он изучил договор а там треш, ничего из того, что было оговорено туда не включили. Зато цену увеличили, навязали своих услуг и своих партнеров пропихнули на допы вроде мебели, кухни и интерьера. Мол без них никак. И это стерпели бы, но платеж, который они нам сами и рассчитали вырос значительно. Оформили в другом ЖК и у другого застройщика просто за неделю все, успели в льготную. Есть все таки те, кто умеет работать, и это не Самолет, увы.",1.0,samolet,novostroy
35,Игорь,2024-06-24,"Я немного разбираюсь в этой сфере и вот что скажу - выбирайте любого другого застройщика, но только не Самолет. Если вы думаете, что ваш застройщик плох, условия предлагает невыгодные и пытается нагреть, то в Самолете умножайте все на 10. Решил дать им шанс, потому что нашел объект хороший. В итоге минус деньги за бронь, месяц нервотрепки и никакой конкретики. Про условия договора молчат ровно до момента, пока вы не оплатите бронь. А дальше начинается свистопляска. Мне этот урок стоил десять тысяч. С Вами делюсь бесплатно",1.0,samolet,novostroy
36,Дмитрий,2024-06-24,"На словах все хорошо, обещали что смогу войти в ипотеку позже, оформив рассрочку. Условия там неплохие, раз 6 уточнил и по телефону и в чате, точно ли они соответствуют действительности. Странно, что в телефонном звонке они ответили, что да, войти в ипотеку можно за 3 месяца до сдачи объекта. А в чате проигнорировали. Складывается ощущение, что не хотели, чтобы у меня были доказательства на будущее. Потому что в ДДУ нет ни слова про ипотеку, а отдать я должен им всю сумму через 9 месяцев уже. И это я молчу, что навешали обязательных доп услуг в виде мебели и пр. Деньги за бронь не вернули, просто игнорировали все вопросы дальнейшие. Это не застройщик, а скамер",1.0,samolet,novostroy
37,Василий Соловьев,2024-06-23,"Развели на 20 тысяч. Менеджер обещал одни условия при бронировании квартир, а по факту в ДДУ втихаря пытались подсунуть другие. Сначала сказали, что за 3 месяца до сдачи объекта можно выйти в любую ипотеку (это почти 2 года), а в ДДУ пропихнули, что я должен меньше чем через год отдать остальное. А еще там не было ни слова про возможности ипотеки, все на словах. Но суть та же - красиво говорят и просто по 10 тысяч с таких же наивных стригут. Подставили и меня и своего партнера - риэлтора. Возвращать за бронь отказываются, естественно. Просто ставят перед фактом. Все вопросы в духе ""А как так получилось"" и ""точно ли оговоренные условия будут в ДДУ"" просто игнорировались. Ни на один не ответили и закрыли общий чат сделки.",1.0,samolet,novostroy
38,Марина,2024-06-23,"Приехала в офис Большое Путилково. По телефону была договоренность на 14-00. Приезжаю и узнаю, что я записана, но в порядке живой очереди. С одним клиентом уже работает менеджер, и один передо мной. Время ожидания 1,5- 2 часа, может и больше. У меня вопрос к сотрудникам офиса: неужели нельзя было перезвонить и перенести встречу пораньше или попозже? Поскольку сижу уже час, желание заключить договор именно с этой компанией пропадает",2.0,samolet,novostroy
39,milana kirilkova,2024-06-20,"Мне очень нравится мой новый дом, купила квартиру в жилом комплексе Люберцы. Переезд только состоялся, квартира была с отделкой и сантехникой - все сделано хорошо, квартира реально уютная. Жаль, что хватило только на однушку, но большую ипотеку, лично я, не потянула бы, живу одна.",5.0,samolet,novostroy
40,Ирина,2024-06-10,"Нашла комплекс Егорово парк, он недалеко от Люберец находится, до МКАДа от него ехать на машине около 15 минут. Начали оформлять документы на студию. Третью неделю готовят договор переуступки. Менеджер по продажам Стрижакова Елена отказывается общаться. Я ей звоню, чтобы узнать, как обстоят дела с документами, не берёт трубку, ни разу не перезвонила! Я думала ГК Самолёт серьёзная компания’",1.0,samolet,novostroy
41,Ирина Гуркина,2024-06-05,"Нашла комплекс Егорово парк, он недалеко от Люберец находится, до МКАДа от него ехать на машине около 15 минут. Но это если без пробок. Предложение я выбрала в готовом доме, поэтому ежемесячная выплата по ипотеке у меня чуть больше, чем в строящемся корпусе. Но мне не напряжно, главное, что я уже переехала. Окружением и инфраструктурой довольна!",5.0,samolet,novostroy
42,Светлана Медведева,2024-05-31,"ЖК Пригород Лесное Корпус 10.2 Срок сдачи 31.05.2024, перенесли срок сдачи на 3 месяца. Кто будет возмещать ущерб? Мы специально брали квартиру в доме , который будет сдаваться в мае, у нас только родился ребенок, почему мы должны с ним мотаться по съемным квартирам? Для чего заключается договор? За что мы платим миллионы? В корпусе 4.1 и 4.2 трудятся десятки рабочих,у них чистый двор уже. В нашем же корпусе 10.2 двор выглядит так,как будто стройка только началась, от силы 10 рабочих трудятся. Почему проблемы с рабочими должны быть нашими проблемами? За что мы заплатили деньги? Как сдавался дом в эксплуатацию,если там проблемы с лифтовым оборудованием, пожарной безопасностью? Каждый раз когда в доме ничего не сделано, то проблемы с лифтовым оборудованием! Это уже не первый дом такой. Почему мы должны сидеть и бесплатно ждать сдачу дома 3 месяца? Даже не сочли нужным отправить сообщение о задержке. Очень пожалели о покупке у данного застройщика. Теперь с введением моратория квартиру вообще не дождемся",1.0,samolet,novostroy
43,Виталий Тимуршин,2024-05-30,"В жк Остафьево взял себе квартиру. Евро двушка у меня, планировка обычная, с кухней - гостиной и отдельной спальней. Так хорошо, что я все-таки взял ипотеку, чтобы доплатить за комфортное проживание с отдельной спальней, а то сначала был настроен на однокомнатную. Все срослось и я доволен.",5.0,samolet,novostroy
44,Сергей Мотков,2024-05-27,"Долго думал, какую взять квартиру в строящемся доме или в готовом. Решил, что лучше немного переплачу, но возьму уже построенный вариант. Не зря, переехал в свой жк Люберцы за месяц. Доволен инфраструктурой, но вот с транспортом тут тяжеловато. Сейчас активно привыкаю и осваиваюсь.",5.0,samolet,novostroy
45,Ирик,2024-05-21,"С января 2024 года не можем добиться замены натяжного потолка застройщиком. Несколько раз назначали замеры, и 6 раз должны были уже прийти поменять. Каждый раз находим возможности, отпрашиваемся с работы, в итоге приходит какой-нибудь разнорабочий-узбек и выпучив глаза говорит что пришел только посмотреть. И так 6 Раз! В итоге середина мая, они так и не могут прийти сделать его. Неоднократно оставлял заявки на исправление застройщиком через приложение, но они сами закрывают эти заявки, ставят режим ""Отменено"". Невозможно связаться по телефону. Не принимают заявки через телефон обосновывая тем что заявки нужно оставлять через УК. Заявки через УК отменяют сами. При звонке из кол-центра сотрудники говорят как попугаи по скрипту, что это вопросы ни к ним. И говорят про обратную связь, но по факту никто не связывается Сил больше нет терпеть это отношение со стороны застройщика. Обьект - Путилково, Просторная 15",1.0,samolet,novostroy
46,Анна,2024-05-20,"Купила квартиру у ""Самолета"", ЖК Прибрежный Парк. Задержка больше 8 месяцев. Невозможно получить внятного адекватного ответа, когда же будет сдана квартира. Больше половины квартир- отделка меньше чем на 50% сделана. а с учетом моратория никто и не спешит, только завтраками кормят! Никогда больше никому я не посоветую связываться с этим казалось бы надежным застройщиком!! по телефону- отговорки, только постоянные переносы. На месте, у штаба строителей- просто разводят руками, не хватает строителей. Уважаемый ""Самолет""!! обратите внимание на этот ЖК! и предпримите меры!! сотни людей в ожидании своих квартир!! у всех дети, ипотеки, сьёмное жилье!",1.0,samolet,novostroy
47,Алексей,2024-05-20,"наш строящийся ЖК выкупили у ГК МИЦ. И перестали строить школу и детские сады. Школа вообще РВЭ получила, осталось только несколько замечаний от города устранить, так даже этого не стали делать. Так и стоит школа почти год, разваливается, а на возмущения жителей пишет, что мол город не принимает.",1.0,samolet,novostroy
48,Дмитрий Г,2024-05-18,Конченная компания. ЖК Прибрежный парк. Квартиру уже почти год не могу получить. Вообще не рекомендую.,1.0,samolet,novostroy
49,Виктория К.,2024-05-10,"В прошлом году заселились в ЖК Пригород Лесное, за это время успели адаптироваться, чем больше тут нахожусь, тем больше мне нравится. Были небольшие проблемы со стоянкой уже их решили, открылись несколько магазинов и кафе, обустроили детские площадки, в общем создают для жителей комфортные условия.",5.0,samolet,novostroy
50,Надежда Арифова,2024-05-02,"Купили в Егорово парк двушку, сразу взяли готовую квартиру, чтобы не ждать никаких достроек. Это Подмосковье, соответственно, московской прописки у нас нет. Но зато у нас рядом Томилинский лесопарк и хорошая экология.",5.0,samolet,novostroy
51,Елена Шадринцева,2024-04-27,"Это первая наша квартира, сказать что я рада, это не то слово, комплекс отличный, новые дома, просторные парадные все чисто и аккуратно. У нас шестой этаж с окнами на сторону реки, вид супер, мест для прогулок много, воздух чистый и приятный. Я допустим не нашла каких-то недостатков в ЖК Тропарево парк, продуманная и организованная работа, показала хороший результат.",5.0,samolet,novostroy
52,ekaterina ignatkina,2024-04-23,"Мы свою квартиру получили в таком качестве, как и ожидали. Что было предусмотрено договором, все было выполнено. Комплекс Заречье Парк, бизнес-класс. По расположению не прогадали, все нравится, хорошая местность, постепенно все развивается. Вообще застройщик не подвел. Наш комплекс построен по авторскому проекту и визуально симпатичный, этажность не больше 9ти.",5.0,samolet,novostroy
53,Раман,2024-04-20,"Купили квартиру, выдача ключей по договору должна была быть 30.09.2023г. Сейчас уже апрель 2024 года и ситуация такая что Правительство ввело мораторий на неустойку. Застройщик в свою очередь окончательно расслабился. Нет никакой информации, на оф сайт перестали выкладывать даже фотографий хода строительства. Некоторым собственникам удается проникнуть на стройку, по тем фото и видео которые они делают понимаешь что в некоторых корпусах вообще за всю зиму ничего не изменилось. Я так думаю что задержат больше чем на год. И ремонт будет убогий. Никогда больше не свяжемся с этим застройщиком",1.0,samolet,novostroy
54,Наталья Ч.,2024-04-05,"Взяли квартиру в Алхимово, переехали летом, уже скоро год, как тут живем. Нравится, что вполне приятное окружение в районе, правда стройка еще не закончилась. Но она не мешает, поэтому, в целом, все прекрасно тут.",5.0,samolet,novostroy
55,Сурайё Хидирова,2024-04-01,"Продали однокомнатную и купили 2 комнатную квартиру у этого застройщика, цена была выше так как дом был введён в эксплуатацию и уверяли что сразу получим ключи, в итоге прошло 3 месяца по договору 30.12.23 выдача, сегодня 1.04 24 они ещё не знают когда выдадут ключи, каждую неделю меняют дату. Приходится платить ипотеку и снимать жильё. Это просто издевательство каждый день звонишь называют другую дату. Не рекомендую связываться с этим застройщиком!!!",1.0,samolet,novostroy
56,stupina karina,2024-04-01,"Мы достаточно долго присматривались к жилому комплексу Пригород Лесное. Ну и параллельно копили первоначальный взнос на покупку, хоть квартира и не дорогая, но все равно, ипотекой воспользоваться пришлось. В итоге взяли в нем целую трешку. Она у нас европейского формата, и так хорошо, что окна смотрят на разные стороны, приятно жить с разными видами.",5.0,samolet,novostroy
