Name,Date,Review,Rating,Developer,Website,Sentiment
Надежда,2022-02-10,"Въехали в свою квартиру полгода назад. Комнаты теплые, окна герметичные, были отрегулированы сразу хорошо, не пришлось с ними возиться. Ремонт от застройщика не без косяков, но нам все быстро устранили. Ключи мы получили в обещанный срок и смогли быстро въехать в квартиру.",5,ПИК,Forum-zhk,1
Оля,2022-02-08,"Ходила в шоу-рум Саларьево, больше интересовала евродвушка, там потом по всем планировкам пробежалась, заодно и отделку посмотрела. По факту, обои обычные- под покраску, плиточка и сантехника уже получше, вроде ровненько, достаточно аккуратно все. Мебель у них и дизайн смотрятся выигрышнее, на фоне отделки) внимание на нее заостряешь. Конечно, если какие-то серьезные недоделки будут, которые не спрячу за мебелью, претензию к Пику выкачу, но в целом картина меня устраивает.",4,ПИК,Forum-zhk,1
Валерия,2022-02-06,"Впечатление о компании сложилось боле менее положительное. Нам очень помогли с ипотекой, сотрудник предложил несколько банков и ипотечных программ. Выбрали под 6,99% годовых, для нас самый удобный вариант. Сделка заняла около месяца, с учетом праздничных дней, считаю это быстро.",4,ПИК,Forum-zhk,1
Юлия,2022-02-04,"Компания крупная, опытная, в Москве их комплексов очень много, в одном из них мы сейчас снимаем квартиру как раз. Живем в Ярославском, с качеством все в порядке, шумоизоляция средненькая, собственно как в обычных панельках, в квартире тепло, ничего не продувает, и в подъезде тоже норм. Поэтому и решились на покупку в Лосиноостровском парке, взяли квартиру сразу с готовой отделкой. Ждем когда построят, очень хочется уже переехать в свое жилье)",5,ПИК,Forum-zhk,1
Наталья,2022-02-02,"Покупали квартиру у ПИКа в Лефортово парке! С квартирой все ничего, даже сколотую плитку поменяли. Но вот дошло дело до кладовки! Пожарная система опущена очень низко, голову разбить можно. Естественно , переделывать это никто не будет, пожарники все приняли!!! Начался процесс расторжения договора, длиться уже практически два месяца! Сначала ПИК берет месяц от получения заказного письма на рассмотрение, а потом неизвестно сколько на печать документов .Пока вот за второй месяц ПИК так и не смог напечатать документы. Либо у ПИКа совсем проблема с деньгами, что 500 тыс. руб. для такое компании сложно вернуть. Ответственного не найти, телефонов отделов нет. Большая компания, персональной ответственности никакой. Когда все хорошо их менеджеры к тебе и прибегут и документы принесут, а как проблема, так нет нигде этих менеджеров. Впечатление испортилось.",2,ПИК,Forum-zhk,-1
Дарья,2022-01-31,"У пика новостроек реально много, мнения тоже разные со всех сторон. Пожив около года в Люберецком, минусы вижу в оперативности работы ук, не всегда сразу реагируют на заявки. В остальном не плохо, квартира нормальная, теплая, главное ничего не разваливается как тут многие пугают.",4,ПИК,Forum-zhk,1
Марина,2022-01-27,"Брали в Белой даче трешку, на приемке была проф.экспертиза, не довольна ей, деньги на ветер(!). Инфы полно и вся разная, перед приемкой конторы атакуют своими страшилками, в реальности оказывается все проще. Скрытых дефектов не нашлось, задувание с подоконника я и сама определила без спец.приборов, отклонение стены от уровня – не считаю такой уж проблемой, это предсказуемо.",4,ПИК,Forum-zhk,1
Виталий,2022-01-23,"Узнавал про их «трейд-ин», там ценник занижают, хочу дороже квартиру продать, так на новую меньше добавлять придется.",4,ПИК,Forum-zhk,0
Анастасия,2022-01-19,"На приемку приглашали эксперта, вроде все что было -нашел, описал. Только сотрудники ПИКа сказали, что устранять будут самые серьезные повреждения, обои переклеивать не будут из-за пузырьков)…посмотрим)…а вообще, приемщик говорит, что сейчас все новостройки грешат недоделками и браком даже в квартирах с черновой отделкой найдется куча недоработок.",5,ПИК,Forum-zhk,0
Анастасия,2022-01-17,"Комплекс от Пик нам понравится огромной территорией, внешним видом корпусов и своим наполнением. На первых этажах магазины, аптеки, пекарни и кофейни. Двор с классной деткой площадкой и спортивной зоной с тренажерами. Рядом с домом высадили много деревьев и кустарников, гулять в своем же дворе среди такой красоты одно удовольствие.",5,ПИК,Forum-zhk,1
Светлана,2022-01-11,"Мне наш комплекс от пик нравится, переехали в него в этом году. Удобное расположение и цена подъемная, мы без ипотеки обошлись. Строит компания быстро, но недочеты тоже имеются. У нас был неисправен один из выключателей и немного искривлен подоконник. Благо все устранили за две недели, и мы смогли вовремя въехать в свою квартиру.",5,ПИК,Forum-zhk,1
Марина Демина,2021-12-24,"Покупали квартиру 2 года назад. Комплекс на тот момент еще строился. Когда начался карантин, стали переживать за то, что дом сдадут значительно позже из-за этих обстоятельств. Но по итогу сроки сдачи почти не изменились, и на качество в целом это никак не повлияло.",5,ПИК,Forum-zhk,1
Юлия З.,2021-12-22,"У нас со сроками сдачи дома было все в порядке. За время строительства часто заходили на сайт и смотрели фотоотчеты, темпы были неплохие. Хотя из-за всех этих отзывов были напуганы, и боялись, что ближе к сдаче что-то пойдет не так. Но опасения были напрасны, ключи мы получили вовремя и сейчас уже живем в своей новой квартире.",5,ПИК,Forum-zhk,1
Мария,2021-12-20,"Какие ужасы пишут люди на сайте, хорошо, что я наткнулась на это только сейчас, а не перед покупкой квартиры, иначе бы передумала. Я своей квартирой от пик довольна. Недостатки были в ремонте от застроя, но не сказала бы, что все плохо, наоборот было пару мелких недоделок. Обои подклеили, заменили ручку на двери и пригласили на повторную приемку. Очень рада, что живу в новостройке с хорошим двором и чистыми мопами.",5,ПИК,Forum-zhk,1
Захар Тихомиров,2021-12-03,"Как к самому крупному приобретению нашей молодой семьи к покупке квартиры решили отнестись серьезно. Выбирали сначала вторичку Москвы, но по деньгам не устраивали районы. Тогда переключились на новостройки, и нашли лучшую по всем параметрам студию в доме застройщика ПАО Группа Компаний ПИК. До заключения договора пока мы еще решали, с нами мило общались, расписывая, как нам повезет, если мы возьмем квартиру у них. Но в брошюрах действительно все было очень заманчиво: уютные квартиры, большой зеленый двор, вся инфраструктура рядом. Первый звоночек прозвенел, когда еще во время стройки мы увидели огромные болота вокруг дома и затопленный подвал. Потом узнали от знакомых дольщиков, что работы начали вестись без отведения сточных вод. Поэтому стало понятно, что даже после заселения мы будем сталкиваться с подтоплениями и дальше - плесень и прочие сопутствующие ужасы. Сдача дома несколько раз переносилась из-за неподключения к коммуникациям. В итоге мы прождали 3,5 месяца, но акт приема отказались подписать, пока не уберут недоделки. Когда уже не осталось сил бороться, заключил договор с юридической фирмой, чтобы не только ускорить процесс ремонта, но и получить компенсацию за каждый день задержки сдачи дома. После решения суда застройщик зашевелился. Неустойку уже получили, работы подходят к концу. Кто еще не подавал на компенсацию, не медлите, подавайте, здесь адрес юристов: advokat-malov.ru/praktika-po-moskovskim-yuridicheskim-licam/pao-gruppa-kompaniy-pik.html?n=1138.",1,ПИК,Forum-zhk,-1
Галина,2021-11-05,"Добрый день! Уважаемые дольщики. Хочу со всеми поделиться нашей историей с мужем, а также открыть глаза на то, как нас вводят в заблуждения Застройщики. Рискнули и взяли квартиру в Подмосковье с отделкой. Пожалели. Но…
1. Квартиру передали с опозданием почти на 4 месяца
2. Отделка квартиры была на столько плохая, что такое впечатление, что до нас там уже кто-то жил лет 5!!!!!((((щели в окнах, пол кривой, унитаз шатается, балкон не закрывается, проводка никакая, обои где-то отклеиваются, где-то их нет и т д. ((((
Решили обратиться к застройщику, для того, чтобы они исправили недоделки в квартире, ноль эмоций, Кроме того, застройщик как в документах, так и устно утверждал, что гарантия на отделку 1 год. Дальше обратились к Управляющей, они пришли, посмотрели и сказали обращайтесь к застройщику, в общем нас футболили туда-сюда 7 месяцев (((а гарантийный срок (по договору и по словам Застройщика) подходил к концу
В итоге пришлось обратиться в одну компанию которая специализируется на взыскании расходов на устранение недостатков. Нам грамотные юристы разъяснили, что:
1. На недостатки в квартире гарантия 2 года по закону
2. Мы-дольщики имеем право требовать деньги на устранение недоделок даже на будущее время
3. Кроме того, если взыскивать деньги через суд, то к Застройщику будут применены штрафные санкции (те мы еще и наказать их можем)))))))
и спустя 4 месяца нам вернул застройщик 670 тр)) Причем мы ничего не платили юристу за услуги, пока застройщик не перечислил нам деньги по решению суда, те пост оплата.
Призываю всех, кто пострадал от любого застройщика, не читать чушь, которая прописана в договоре и уж ни в коем случае не слушать сотрудников, работающих на застройщика, а идти сразу к юристу и отстаивать свои права. Это реально!!! Желаю удачи в борьбе, всем кто попался на уловки не добросовестного застройщика! Кого интересует, можете писать на э почту g060375@mail.ru расскажу подробнее, могу посоветовать хороших, проверенных специалистов.",1,ПИК,Forum-zhk,-1
Driver,2021-09-14,"У жены родители рядом с Ильменский 17 живут на Коровинском шоссе, поэтому мы нацелились на него. Район знаем хорошо, купили в ипотеку однокомнатную на 40 квадратов. При чем с ремонтом и мебелью, сразу под ключ. Впервые такие условия встречаю, но так лучше, чтобы сразу заехать и не заниматься ремонтом.",5,ПИК,Forum-zhk,1
Антон,2021-09-09,"Хорошая компания, на дворе кризис, а они с удовольствием набирают инженеров, и не просто инженеров, а именно проектировщиков и не в Москве, а в провинции. Строительство развивается, люди находят работу с неплохим заработком, и не надо в Москву ехать. У многих людей жизнь изменилась, включая меня. Так что, кто бы что ни говорился, мне работать в компании пик нравится.",5,ПИК,Forum-zhk,0
Сергей,2021-08-27,"Купили у пика квартиру в Измайловском, в принципе, расположение клевое – возле крупного лесопарка, квартира с отделкой и недалеко (относительно) от Москвы. Разве что метро не хватает, но учитывая, что около часа до города на машине – норм. В остальном типикал пик – инфраструктура, школа и три садика.",5,ПИК,Forum-zhk,1
Александр,2021-08-25,"Многие знакомые купили у ПИК квартиры – потому что доступное и комфортное жилье. Ездили к друзьям недавно в Ильменский. Там у них метро рядом, магазины, шоссе – все в быстром доступе. о есть расположение такое, что жить там не напряжно людям и семьями, и пожилым и просто холостым, работящим.",5,ПИК,Forum-zhk,1
Oksana,2021-08-24,"Мне тоже нравится ценовая политика пика и то, что люди получают за такую цену. Во-первых сроки сдачи – судя по сайту наш дом рф, большинство жк сдано вовремя, особенно это важно для семейных и молодых людей, во-вторых – своя инфраструктура – коммерция на первых этажах, школы, садики и даже поликлиники в некоторых жк. Ну и в-третьих, конечно цена, даже на квартиры с отделкой, в измайловском купили двушку за 8 млн.",5,ПИК,Forum-zhk,1
